feature,importance
status_checking_account_A14,0.09153604797798445
status_checking_account_A11,0.07890676205022977
purpose_encoded,0.060418886983554215
credit_history_A34,0.05770286430329156
month_credit_duration,0.05126841053961265
purpose_A41,0.05013371111337132
savings_type_A61,0.04449190182736412
high_amount,0.041180065994418334
purpose_A40,0.036989426830320866
debtors_A103,0.03642141278231466
credit_history_A30,0.03259366058127705
property_A124,0.032467392412386706
savings_type_A65,0.03081964651580731
other_installments_A143,0.030271607687117175
savings_type_A64,0.029904248340813958
status_checking_account_A12,0.029722121845546734
credit_history_A31,0.029269988591762282
purpose_A46,0.029022572477573557
pct_fee_income,0.02849740714058607
credit_amount,0.028470366981149037
years_of_employment_A74,0.028446278338258447
high_duration,0.02813813691375441
foreign_worker_A201,0.02551449730059321
foreign_worker_A202,0.025514497300593145
credit_history_A32,0.025337639124366308
age,0.025115157729634296
debtors_A102,0.023863576299717963
other_installments_A142,0.02382841332798263
property_A121,0.023293019489687213
housing_A152,0.023283317083450984
savings_type_A63,0.02309114636270792
purpose_A43,0.021206039448979093
housing_A151,0.020789285992166697
age_squared,0.020662140254974506
years_of_employment_A72,0.020411828886597524
other_installments_A141,0.019208487775710752
status_sex_A92,0.018532278565221192
telephone_A191,0.018009664627759547
telephone_A192,0.018009664627759544
num_existing_credits,0.017724285538540923
status_sex_A93,0.01756507353147105
purpose_A45,0.017143978954455057
status_checking_account_A13,0.016104207209435676
years_of_employment_A71,0.01267552376880421
purpose_A410,0.010026838764083503
debtors_A101,0.009418697433601908
credit_to_duration_ratio,0.008414504371728478
housing_A153,0.008350899102262336
log_credit_amount,0.008033377300335983
job_A171,0.007259759949416698
purpose_A48,0.006323763753902066
credit_history_A33,0.006250686349002945
years_of_employment_A75,0.006072964543479336
status_sex_A91,0.0057528187184920625
property_A123,0.005651166348744094
years_of_employment_A73,0.005449739711861396
savings_type_A62,0.004943093983929002
property_A122,0.004561564160898788
status_sex_A94,0.0037702843321546654
purpose_A49,0.0026171679265047307
job_A174,0.0021036068143983704
purpose_A42,0.001744082034544148
purpose_A44,0.0007913098520990587
job_A173,0.0007871978571262946
job_A172,0.000190576366840156
high_risk_profile,0.0
